,Region,rsu_raf,nombre,glosa,fono,glosa1,Direccion,Email,Socios,Socias,FechaConstitucion,Column1,FechaUltimaDirectiva,NombreOficina,FechaDepositoEstatutos,Empresa,NombreDirigente,InicioMandato,FinMandato,glosa2,TotalMiembros
8905,13,13040062,"SINDICATO DE TRABAJADORES INDEPENDIENTES DE ARTESANOS Y AGRICOLAS ""MARTRALIPU DE POMAIRE""",ACTIVO,8313479,SINDICATO INDEPENDIENTE,EL CARMEN 220 POMAIRE,,153,11,14/02/1988,,21-11-2019 0:00:00,IPT MELIPILLA,24/02/1988,,JOSE JACOB ROJAS ENCINA,29/10/2021,2024-10-29T00:00:00.000,PRESIDENTE,164
13407,13,13015119,SINDICATO NACIONAL N°1 DE VENTAS AFP PLANVITAL,ACTIVO,9507877170,SINDICATO EMPRESA,LO BLANCO N°852,YASNA7717@GMAIL.COM,59,50,02/11/2020,663010 ADMINISTRADORAS DE FONDOS DE PENSIONES (AFP),01-01-1980 0:00:00,IPT SANTIAGO,10/11/2020,: 98001200-K ADMINISTRADORA DE FONDOS DE PENSIONES PLANVITAL S A,YASNA ANDREA SILVA LOBOS,02/11/2020,2024-11-02T00:00:00.000,PRESIDENTE,109
12994,13,13091024,SINDICATO NACIONAL DE EMPRESA PLAZA CENTRAL,ACTIVO,7797233,SINDICATO EMPRESA,"SAN BORJA N° 62, LOCAL 196, MALL ESTACION CENTRAL",,35,150,19/07/2000,492250 TRANSPORTE DE PASAJEROS EN BUSES INTERURBANOS,29-10-2022 0:00:00,ICT MAIPÚ,20/07/2000,: 96778980-1 SOC ADMINISTRADORA PLAZA CENTRAL LIMITADA,SOLEDAD DEL CARMEN GALAZ ROMERO,04/11/2022,2024-11-04T00:00:00.000,PRESIDENTE,185
13303,13,13010344,"SINDICATO NACIONAL INTEREMPRESA DE TRABAJADORES DE ENEL S.A E INGENIEROS DE EJECUCION Y PROFESIONALES DE ENEL S.A.Y FILIALES, COLIGADAS, RELACIONADAS, VINCULADAS Y CON PARTICIPACION SOCIETARIA Y OTRAS",ACTIVO,6321219,SINDICATO INTER EMPRESA,PARIS N° 778,,128,20,14/10/1965,,05-11-2021 0:00:00,IPT SANTIAGO,14/10/1965,: 4901513-5 ENDESA S.A.: 91081000-6 ENEL GENERACION CHILE S.A.: 93256000-3 EVALUADORA DE CREDITOS LIMITADA: 96588800-4 EMPRESA DE INGENIERIA INGENDESA S.A.,MAURICIO JAVIER RAMIREZ BARRIENTOS,05/11/2021,2024-11-05T00:00:00.000,PRESIDENTE,148
14306,13,13014432,SINDICATO Nº3 DE EMPRESA SERVICIOS GENERALES FALABELLA RETAIL SPA,ACTIVO,95384740,SINDICATO EMPRESA,HUERFANOS 1052 LOCAL 11,,27,90,09/10/2014,471910 VENTA AL POR MENOR EN COMERCIOS DE VESTUARIO Y PRODUCTOS PARA EL HOGAR (GRANDES TIENDAS),06-10-2021 0:00:00,IPT SANTIAGO,10/10/2014,: 77261280-K FALABELLA RETAIL S.A.: 96579870-6 SERVICIOS GENERALES FALABELLA RETAIL SPA: 96811120-5 SERVICIOS GENERALES PASEO CENTRO SPA,ANA ELIZABETH DROGUETT GALLARDO,05/11/2021,2024-11-05T00:00:00.000,PRESIDENTE,117
6600,13,13014885,"SINDICATO DE PROFESORES, ASISTENTES DE LA EDUCACION, EMPLEADOS ADMINISTRATIVOS Y SERVICIOS AUXILIARES DE LA FUNDACION EDUCACIONAL INSTITUTO ALONSO DE ERCILLA",ACTIVO,226810214,SINDICATO EMPRESA,SANTO DOMINGO N° 2145,,37,101,15/12/2017,"850022 ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PRIVADA",26-09-2022 0:00:00,IPT SANTIAGO,28/12/2017,: 65764640-7 FUNDACION EDUCACIONAL INSTITUTO ALONSO DE ERCILLA,AGNES MARIA LILIANA AVILES RIVERO,07/11/2022,2024-11-07T00:00:00.000,PRESIDENTE,138
2678,13,13010130,CONFEDERACION NACIONAL DE SUPLEMENTEROS DE CHILE,ACTIVO,6957639,CONFEDERACION DE SINDICATOS,TUCAPEL JIMENEZ Nº 26,,80,75,10/03/1980,0 ACTIVIDADES NO ESPECIFICADAS,04-10-2021 0:00:00,IPT SANTIAGO,12/03/1980,,RAQUEL DEL CARMEN ROBLES CANELO,09/11/2021,2024-11-09T00:00:00.000,DIRECTOR,155
2608,13,93120039,ASOCIACIÓN DE PROFESIONALES UNIVERSITARIOS DE LOS SERVICIOS DE SALUD HOSPITAL DR. LUIS CALVO MACKENNA,ACTIVO,3401600,ASOCIACION DE FUNCIONARIOS,AV. ANTONIO VARAS Nº 360,,15,125,21/12/2004,,25-06-2022 0:00:00,ICT PROVIDENCIA,23/12/2004,,LORENA ELIZABETH URETA BASCUÑAN,09/11/2022,2024-11-09T00:00:00.000,PRESIDENTE,140
13560,13,13110513,SINDICATO N° 1 DE LA EMPRESA QUEBECOR WORLD CHILE S.A.,ACTIVO,7420199,SINDICATO EMPRESA,AVDA.RAMON FREIRE N° 6920,,94,4,15/10/1987,,08-11-2021 0:00:00,ICT STGO PONIENTE,19/10/1987,: 96830710-K A IMPRESORES S.A.,JUAN ROBERTO PALMA LORA,09/11/2021,2024-11-09T00:00:00.000,PRESIDENTE,98
1769,13,93020063,ASOCIACION DE FUNCIONARIOS NºIII HOSPITAL PADRE ALBERTO HURTADO,ACTIVO,8516620,ASOCIACION DE FUNCIONARIOS,ESPERANZA Nº 2150,,24,166,05/05/2009,,06-11-2022 0:00:00,ICT SANTIAGO SUR,11/05/2009,,VICTOR MANUEL MATURANA CAVIERES,11/11/2022,2024-11-11T00:00:00.000,DIRECTOR,190
13870,13,13080551,SINDICATO Nº 1 DE TRABAJADORES DE EMPRESA COLEGIO SAN AGUSTIN,ACTIVO,8958400,SINDICATO EMPRESA,DUBLE ALMEYDA 4950,,40,116,03/11/1992,"850022 ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PRIVADA",25-10-2021 0:00:00,ICT SANTIAGO SUR ORIENTE,06/11/1992,: 65035223-8 FUNDACION EDUCACIONAL SAN NICOLAS DE TOLENTINO,DEBORAH HENRRIETTE RODRIGUEZ HERRERA,11/11/2021,2024-11-11T00:00:00.000,PRESIDENTE,156
6779,13,13230152,SINDICATO DE TRABAJADORES BM INDUSTRIAL SPA,ACTIVO,7455635,SINDICATO EMPRESA,CARRETERA GRAL. SAN MARTIN Nº 16.500 BARRIO IND. LOS LIBERTADORES,,99,5,06/02/2004,275000 FABRICACIÓN DE APARATOS DE USO DOMÉSTICO,11-11-2022 0:00:00,ICT NORTE CHACABUCO,09/02/2004,: 78430810-3 BM INDUSTRIAL SPA,JOSE LUIS ITURRA VERA,11/11/2022,2024-11-11T00:00:00.000,PRESIDENTE,104
594,13,93010168,"ASOCIACION DE FUNCIONARIOS DE LA DIRECCION GENERAL DE RELACIONES ECONOMICAS INTERNACIONALES, ""AFUD"".",ACTIVO,8275440,ASOCIACION DE FUNCIONARIOS,"TEATINOS Nº 20, OF. 91",,65,96,09/11/2004,,25-07-2022 0:00:00,IPT SANTIAGO,10/11/2004,,RAUL ALBERTO VILCHES MENDEZ,14/11/2022,2024-11-14T00:00:00.000,PRESIDENTE,161
10890,13,13090040,SINDICATO DE TRABAJADORES Nº 2 DE LA EMPRESA C.T.I. COMPAÑIA TECNO INDUSTRIAL S.A.,ACTIVO,5306100,SINDICATO EMPRESA,ALBERTO LLONA Nº 777,sindicato2cti@gmail.com,100,46,10/09/1964,"475909 VENTA AL POR MENOR DE APARATOS ELÉCTRICOS, TEXTILES PARA EL HOGAR Y OTROS ENSERES DOMÉSTICOS N.C.P.",11-11-2022 0:00:00,ICT MAIPÚ,10/09/1964,: 76163495-K ELECTROLUX DE CHILE S.A.,SERGIO ARNOLDO VALDES PINOCHET,14/11/2022,2024-11-14T00:00:00.000,PRESIDENTE,146
7191,13,13230910,SINDICATO DE TRABAJADORES DE EMPRESA FUNDACION EDUCACIONAL SOCIEDAD DE ESCUELAS CATOLICAS DE SANTO TOMAS DE AQUINO,ACTIVO,5215420-5416751,SINDICATO EMPRESA,SANTA ROSA N° 9093,,100,100,30/12/1965,850021 ENSEÑANZA PREESCOLAR PRIVADA,09-11-2021 0:00:00,ICT NORTE CHACABUCO,30/12/1965,: 82882600-K SOC ESCUELAS CATOLICAS DE SANTO TOMAS DE AQUINO,BERNARDITA LOPEZ RODRIGUEZ,17/11/2021,2024-11-17T00:00:00.000,PRESIDENTE,200
13844,13,13090091,SINDICATO Nº 1 DE EMPRESA VIRUTEX ILKO S.A.,ACTIVO,05574602,SINDICATO EMPRESA,CAMINO A MELIPILLA N? 7875,sindicato1.virutexilko@gmail.com,71,45,27/07/1965,259900 FABRICACIÓN DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.,10-11-2022 0:00:00,ICT MAIPÚ,27/07/1965,: 93550000-1 VIRUTEX ILKO SPA,NELLY DEL CARMEN DIAMANTINO ARREDONDO,17/11/2022,2024-11-17T00:00:00.000,PRESIDENTE,116
9512,13,13130008,SINDICATO DE TRABAJADORES INDEPENDIENTES DEL MERCADO PERSA DE SAN BERNARDO.-,ACTIVO,5293359,SINDICATO INDEPENDIENTE,ALONSO CORTES 13437VILLA EL OLIVO,,67,87,30/10/1979,960909 OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.,25-05-2015 0:00:00,IPT MAIPO (SAN BERNARDO),08/11/1979,,NANCY DE LAS MERCEDES ZUÑIGA LUNA,19/11/2022,2024-11-19T00:00:00.000,PRESIDENTE,154
14243,13,13012511,SINDICATO Nº2 DE EMPRESA DE SERVICIO DE LIMPIEZA MECANIZADA SLIM S.A.,ACTIVO,6672219,SINDICATO EMPRESA,SERRANO Nº 444,,21,88,22/06/2002,960909 OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.,05-10-2022 0:00:00,IPT SANTIAGO,26/06/2002,: 82612000-2 ISS SERVICIOS DE LIMPIEZA MECANIZADA S.A,SERGIO EMILIO LABRIN SANCHEZ,19/11/2022,2024-11-19T00:00:00.000,PRESIDENTE,109
13397,13,13070924,SINDICATO NACIONAL N° 1 DE TRABAJADORES DE LA EMPRESA VITAL S.A.,ACTIVO,6204138,SINDICATO EMPRESA,"AV.AMERICO VESPUCIO 1651, renca (empresa)",sinvital.rrhh@gmail.com,115,40,25/10/1992,110401 ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS,15-07-2023 0:00:00,ICT STGO NORTE,30/10/1992,: 93899000-K VJ S.A.,MIGUEL CORREA FARIAS,23/11/2022,2024-11-23T00:00:00.000,PRESIDENTE,155
2335,13,93010230,ASOCIACION NACIONAL DE FUNCIONARIOS DEL TRABAJO DE CHILE.,ACTIVO,6726283,ASOCIACION DE FUNCIONARIOS,ALMIRANTE BARROSO Nº 25,,35,80,27/04/1938,942000 ACTIVIDADES DE SINDICATOS,13-09-2023 0:00:00,IPT SANTIAGO,25/03/1996,,ANIBAL ANTONIO MORAGA MACHUCA,23/11/2022,2024-11-23T00:00:00.000,DIRECTOR,115
7599,13,13011194,SINDICATO DE TRABAJADORES DE LA EMPRESA ARTEL S.A.I.C. N° 2,ACTIVO,6986936,SINDICATO EMPRESA,VALENTIN LETELIER N° 18,,54,64,29/05/1987,476103 VENTA AL POR MENOR DE ARTÍCULOS DE PAPELERÍA Y ESCRITORIO EN COMERCIOS ESPECIALIZADOS,17-10-2022 0:00:00,IPT SANTIAGO,10/06/1987,: 92642000-3 ARTEL S.A.,JUAN CARLOS GARRIDO MIRANDA,24/11/2022,2024-11-24T00:00:00.000,PRESIDENTE,118
13413,13,13110045,SINDICATO NACIONAL Nº 1 DE EMPRESA AISLAPOL S.A.,ACTIVO,07733223,SINDICATO EMPRESA,CARRASCAL Nº 3791,sindicatoaislapol@gmail.com,96,14,05/01/1971,202909 FABRICACIÓN DE OTROS PRODUCTOS QUÍMICOS N.C.P.,23-11-2022 0:00:00,ICT STGO PONIENTE,05/01/1971,: 76412645-9 AISLAPOL S.A: 96929060-K AISLAPOL S A,CRISTIAN ANGELO MUÑOZ JIMENEZ,24/11/2022,2024-11-24T00:00:00.000,PRESIDENTE,110
6571,13,13012948,SINDICATO DE PROFESIONALES MEDICOS y de la salud DE LA MUTUAL DE SEGURIDAD DE LA CAMARA CHILENA DE LA CONSTRUCCION,ACTIVO,992275945,SINDICATO EMPRESA,ALAMEDA Mº 4848,,111,30,21/06/2006,861020 ACTIVIDADES DE HOSPITALES Y CLÍNICAS PRIVADAS,26-11-2020 0:00:00,IPT SANTIAGO,29/06/2006,: 70285100-9 MUTUAL DE SEGURIDAD CAMARA CHILENA DE LA CONSTRUCCION,ISIDE ELENA BRAVO IUBINI,26/11/2020,2024-11-26T00:00:00.000,DIRECTOR,141
7998,13,13120698,SINDICATO DE TRABAJADORES DE LA EMPRESA UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,ACTIVO,6954831-6732879,SINDICATO EMPRESA,CONDELL Nº 343,,48,119,10/11/1992,853120 ENSEÑANZA SUPERIOR EN UNIVERSIDADES PRIVADAS,28-11-2022 0:00:00,ICT PROVIDENCIA,12/11/1992,: 71470400-1 UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,PILAR PARDO MUÑOZ,28/11/2022,2024-11-28T00:00:00.000,PRESIDENTE,167
894,13,93120015,ASOCIACION DE FUNCIONARIOS DE LA UNIVERSIDAD DE CHILE,ACTIVO,2223492,ASOCIACION DE FUNCIONARIOS,EULOGIA SANCHEZ 2,,120,66,02/02/1993,,30-11-2022 0:00:00,ICT PROVIDENCIA,09/11/1995,,MAXIMILIANO ANTONIO AEDO POBLETE,30/11/2022,2024-11-30T00:00:00.000,DIRECTOR,186
11401,13,13110722,SINDICATO DEL COLEGIO PIAMARTA DE LA EMPRESA FUNDACION JUAN PIAMARTA,ACTIVO,7411573,SINDICATO EMPRESA,SANTA CORINA NORTE Nº 660,,34,113,18/05/1993,949909 ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.,05-12-2021 0:00:00,ICT STGO PONIENTE,31/05/1993,: 72725600-8 FUND JUAN PIAMARTA,CAROLA DEL PILAR DUQUE ROJAS,03/12/2021,2024-12-03T00:00:00.000,PRESIDENTE,147
11016,13,13020591,SINDICATO DE TRABAJADORES Nº4 DE EMPRESA COMUNIDAD FERIA LO VALLEDOR,ACTIVO,06832452,SINDICATO EMPRESA,AV.CERRILLOS 4030,,110,7,08/06/1990,,16-12-2020 0:00:00,ICT SANTIAGO SUR,11/06/1990,: 56019880-9 COMUNIDAD FERIA LO VALLEDOR: 76053932-5 ADMINISTRADORA DE MERCADO SPA,GABRIEL RAMON RUIZ CASTRO,04/12/2020,2024-12-04T00:00:00.000,PRESIDENTE,117
4148,13,13050438,SINDICATO DE EMPRESA CORPORACION EDUCACIONAL Y CULTURAl EMPRENDER,ACTIVO,2659146,SINDICATO EMPRESA,LOS MAÑIOS Nº978 VILLA LA FORESTA PUENTE ALTO,,28,128,05/04/2005,949909 ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.,27-11-2022 0:00:00,IPT CORDILLERA,08/04/2005,: 72684200-0 CORPORACION EDUCACIONAL EMPRENDER,ALDO ARAVENA ROCHA,07/12/2022,2024-12-07T00:00:00.000,PRESIDENTE,156
1668,13,93130022,ASOCIACION DE FUNCIONARIOS NO DOCENTE DE LA ILUSTRE MUNICIPALIDAD DE EL BOSQUE,ACTIVO,1,ASOCIACION DE FUNCIONARIOS,VICTOR PLAZA MAYORGA 1049,,157,0,01/08/1997,,22-06-2022 0:00:00,IPT MAIPO (SAN BERNARDO),07/08/1997,,OCTAVIO GILBERTO CONTRERAS VALLEJOS,13/12/2022,2024-12-13T00:00:00.000,PRESIDENTE,157
5542,13,13220317,SINDICATO DE EMPRESA SERVICIOS GENERALES CERRO COLORADO LTDA.,ACTIVO,978712736 5929726,SINDICATO EMPRESA,nataniel cox n° 620,SINDICATOTOTTUSCERROCOLORADO@GMAIL.COM,61,74,20/04/2009,"471100 VENTA AL POR MENOR EN COMERCIOS DE ALIMENTOS, BEBIDAS O TABACO (SUPERMERCADOS E HIPERMERCADOS)",30-06-2023 0:00:00,ICT SANTIAGO ORIENTE,21/04/2009,: 76662120-1 SERVICIOS GENERALES CERRO COLORADO LIMITADA: 78627210-6 HIPERMERCADOS TOTTUS SA,JESUS MARIA ZAPATA LOZADA,15/12/2022,2024-12-15T00:00:00.000,PRESIDENTE,135
253,13,93230014,"ASOCIACION DE FUNCIONAIOS DE LA SALUD ""MANUEL BUSTOS"" DE LA ILUSTRE MUNICIPALIDAD DE QUILICURA",ACTIVO,6270453,ASOCIACION DE FUNCIONARIOS,AV. LO CRUZAT Nº0486,,44,65,09/10/2007,,15-12-2022 0:00:00,ICT NORTE CHACABUCO,17/10/2007,,COLOMBA BEATRIZ FLORES SALINAS,15/12/2022,2024-12-15T00:00:00.000,DIRECTOR,109
14247,13,13021016,"SINDICATO Nº2 DE EMPRESA FUNDACION EDUCACIONAL ""EMA PEREZ BRAVO""",ACTIVO,558 66 91,SINDICATO EMPRESA,AVENIDA GOYCOLEA Nº 0210,,36,62,03/11/2000,,11-07-2022 0:00:00,ICT SANTIAGO SUR,13/11/2000,: 72524100-3 FUND EDUCACIONAL EMA PEREZ BRAVO,VIVIANA DEL CARMEN VIDAL ORTIZ,15/12/2022,2024-12-15T00:00:00.000,PRESIDENTE,98
1518,13,93160017,ASOCIACION DE FUNCIONARIOS MUNICIPALES DE LA GRANJA,ACTIVO,225503892,ASOCIACION DE FUNCIONARIOS,AV. AMERICO VESPUCIO N? 002,,85,83,16/05/1979,841100 ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA EN GENERAL,18-12-2022 0:00:00,ICT LA FLORIDA,16/05/1979,,FRANCISCO MANUEL TRABUCO AZOCAR,19/12/2022,2024-12-19T00:00:00.000,PRESIDENTE,168
563,13,93040016,ASOCIACION DE FUNCIONARIOS DE LA ATENCION PRIMARIA DE SALUD DE MELIPILLA,ACTIVO,8324914,ASOCIACION DE FUNCIONARIOS,HURTADO Nº274,,54,94,10/09/2009,862010 ACTIVIDADES DE CENTROS DE SALUD MUNICIPALIZADOS (SERVICIOS DE SALUD PÚBLICA),29-10-2022 0:00:00,IPT MELIPILLA,14/09/2009,,SANDRA FABIO ZUÑIGA,19/12/2022,2024-12-19T00:00:00.000,DIRECTOR,148
2546,13,93080023,ASOCIACIÓN DE FUNCIONARIOS DEL INSTITUTO DE SALUD PÚBLICA DE CHILE,ACTIVO,3507477,ASOCIACION DE FUNCIONARIOS,MARATHON No 1000,,41,62,03/04/1996,0 ACTIVIDADES NO ESPECIFICADAS,16-12-2022 0:00:00,ICT SANTIAGO SUR ORIENTE,04/04/1996,,ALMA BELMAR HERRERA,19/12/2022,2024-12-19T00:00:00.000,PRESIDENTE,103
3833,13,13230002,SINDICATO DE EMPRESA CEMENTO POLPAICO S.A. Nº1,ACTIVO,6966441,SINDICATO EMPRESA,"PANAMERICANA NORTE S.N KM.38, POLPAICO",,118,16,03/09/1947,,17-12-2022 0:00:00,ICT NORTE CHACABUCO,03/09/1947,: 91337000-7 CEMENTO POLPAICO S A,JAIME ANDRES GOMEZ CORALES,20/12/2022,2024-12-20T00:00:00.000,PRESIDENTE,134
196,13,93040018,"ASOCIACION DE ADMINISTRATIVOS, TECNICOS Y AUXILIARES CATEGORIAS C, D, E Y F DE LA SAUD PRIMARIA DE MELIPILLA",ACTIVO,8321748,ASOCIACION DE FUNCIONARIOS,HURTADO Nº274,,39,94,14/10/2009,,05-12-2022 0:00:00,IPT MELIPILLA,16/10/2009,,INGRID XIMENA SANTIBAÑEZ FUENTES,20/12/2022,2024-12-20T00:00:00.000,PRESIDENTE,133
11070,13,13111572,SINDICATO DE TRABAJADORES PROFESIONALES DE LA EMPRESA CLINICA BICENTENARIO SPA,ACTIVO,945625807,SINDICATO EMPRESA,AV. LIBERTADOR BERNARDO OHIGGINS 4850,S.profesional.clibisa@gmail.com,25,122,21/12/2018,861020 ACTIVIDADES DE HOSPITALES Y CLÍNICAS PRIVADAS,21-12-2021 0:00:00,ICT STGO PONIENTE,26/12/2018,: 96885930-7 CLINICA BICENTENARIO SPA,BIANCA GUERRA PEREZ,21/12/2021,2024-12-21T00:00:00.000,PRESIDENTE,147
1798,13,93220014,ASOCIACION DE FUNCIONARIOS PROFESIONALES DEL AREA MEDICA DEL HOSPITAL DIPRECA (APROFAMED),ACTIVO,3156200,ASOCIACION DE FUNCIONARIOS,VITAL APOQUINDO Nº1200,,83,110,10/06/2009,,07-06-2022 0:00:00,ICT SANTIAGO ORIENTE,23/06/2009,,MARIA JOSE ROJAS GONZALEZ,22/12/2022,2024-12-22T00:00:00.000,DIRECTOR,193
13136,13,13130096,SINDICATO NACIONAL DE TRABAJADORES DE LA EMPRESA HORMIGONES PREMIX S.A.,ACTIVO,3601111/anexo771,SINDICATO EMPRESA,"LA DIVISA 400, SEDE 3678771",,173,9,19/04/1987,"239500 FABRICACIÓN DE ARTÍCULOS DE HORMIGÓN, CEMENTO Y YESO",22-10-2022 0:00:00,IPT MAIPO (SAN BERNARDO),22/04/1987,: 93248000-K MELON HORMIGONES S.A.,RICARDO HUMBERTO VENEGAS NÚÑEZ,22/12/2022,2024-12-22T00:00:00.000,PRESIDENTE,182
5619,13,13014622,SINDICATO DE EMPRESA SOCIEDAD ADMINISTRADORA DE CASINOS Y SERVICIOS ALISERVICE S.A.,ACTIVO,54559418,SINDICATO EMPRESA,AVDA. DEL VALLE N° 738,,23,111,03/12/2015,,07-02-2020 0:00:00,IPT SANTIAGO,07/12/2015,: 96872930-6 SOC ADMINISTRADORA DE CASINOS Y SERVICIOS ALISERVICE S A,MARIA IGNACIA GARNICA RIOS,23/12/2019,2024-12-23T00:00:00.000,PRESIDENTE,134
877,13,93010019,"ASOCIACION DE FUNCIONARIOS DE LA SECRETARIA Y ADMINISTRACION GENERAL DEL MINISTERIO DE HACIENDA, MINDHA",ACTIVO,6755908,ASOCIACION DE FUNCIONARIOS,TEATINOS N° 120,,65,71,22/08/1994,,20-02-2022 0:00:00,IPT SANTIAGO,24/08/1994,,MARIA CECILIA SANCHEZ GONZALEZ,28/12/2022,2024-12-28T00:00:00.000,PRESIDENTE,136
10979,13,13072464,SINDICATO DE TRABAJADORES Nº1 TIVIT CHILE,ACTIVO,994691899,SINDICATO EMPRESA,"ALONSO OVALLE Nº778, OF.52",syndicato.uno@gmail.com,96,18,26/10/2007,,02-05-2022 0:00:00,ICT STGO NORTE,29/10/2007,": 76130712-6 TIVIT CHILE TERCERIZACION DE PROCESOS, SERVICIOS Y TECNOLOGIA SPA",JUAN HERNANDEZ VASQUEZ,29/12/2021,2024-12-29T00:00:00.000,PRESIDENTE,114
2112,13,93230007,ASOCIACION DE PROFESIONALES Y TECNICOS DE LA ILUSTRE MUNICIPALIDAD DE QUILICURA,ACTIVO,0603105,ASOCIACION DE FUNCIONARIOS,JOSE FRANCISCO VERGARA 450 QUILICURA,,101,37,19/05/1997,,11-12-2022 0:00:00,ICT NORTE CHACABUCO,28/05/1997,,VICTOR DANIEL CONTRERAS BELLO,04/01/2023,2025-01-04T00:00:00.000,PRESIDENTE,138
330,13,93070030,"ASOCIACION DE FUNCIONARIOS ADMINISTRATIVOS, PARADOCENTES Y AUXILIARES DE LA I. MUNICIPALIDAD DE INDEPENDENCIA.",ACTIVO,3690583- 3690582,ASOCIACION DE FUNCIONARIOS,INDEPENDENCIA Nro. 1225 INDEPENDENCIA,afapa.indep@gmail.com,54,64,03/01/1996,0 ACTIVIDADES NO ESPECIFICADAS,30-12-2022 0:00:00,ICT STGO NORTE,08/01/1996,,MARIA ANGELICA TORO POBLETE,04/01/2023,2025-01-04T00:00:00.000,PRESIDENTE,118
7740,13,13072421,SINDICATO DE TRABAJADORES DE LA EMPRESA ENTEL CALL CENTER (SINTECC),ACTIVO,88913283,SINDICATO EMPRESA,VALENTIN LETELIER 18,,73,31,28/08/2013,619090 OTRAS ACTIVIDADES DE TELECOMUNICACIONES N.C.P.,27-12-2021 0:00:00,ICT STGO NORTE,02/09/2013,: 96563570-K ENTEL CALL CENTER S A,MAILLEN CADIZ SANCHEZ,04/01/2022,2025-01-04T00:00:00.000,PRESIDENTE,104
12896,13,13011214,SINDICATO METROPOLITANO DE TRABAJADORES DE LA EMPRESA COLEGIO DE PROFESORES DE CHILE A.G.,ACTIVO,4704200,SINDICATO EMPRESA,MONEDA Nº 2394,,46,82,11/08/1987,941200 ACTIVIDADES DE ASOCIACIONES PROFESIONALES,31-10-2022 0:00:00,IPT SANTIAGO,12/08/1987,: 70373100-7 COLEGIO DE PROFESORES DE CHILE AG DIRECTORIO NACIONAL,CARLOS ARTURO AGUILLON ASPILLAGA,09/01/2023,2025-01-09T00:00:00.000,PRESIDENTE,128
2336,13,93010024,ASOCIACION NACIONAL DE FUNCIONARIOS DIRECCION DE CONTABILIDAD Y FINANZAS DEL MINISTERIO DE OBRAS PUBLICAS,ACTIVO,3612216,ASOCIACION DE FUNCIONARIOS,MORANDE N° 71,,94,98,15/09/1994,,11-11-2022 0:00:00,IPT SANTIAGO,21/09/1994,,CLAUDIO HURTADO DIAZ,10/01/2023,2025-01-10T00:00:00.000,DIRECTOR,192
1880,13,93040010,ASOCIACION DE FUNCIONARIOS PROFESIONALES UNIVERSITARIOS FENPRUSS DEL HOSPITAL SAN JOSE DE MELIPILLA,ACTIVO,8323555 AN550,ASOCIACION DE FUNCIONARIOS,"O""HIGGINS Nº551",,22,77,29/03/2000,,23-12-2022 0:00:00,IPT MELIPILLA,22/05/2001,,LEYLA VALLADARES ORTIZ,13/01/2023,2025-01-13T00:00:00.000,PRESIDENTE,99
13810,13,13090747,SINDICATO Nº 1 DE EMPRESA DE TRABAJADORES IMICAR S.A.,ACTIVO,5575254,SINDICATO EMPRESA,LAS ENCINAS Nº 441,sindicato.imicar@gmail.com,152,0,10/01/2006,170200 FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN,10-12-2022 0:00:00,ICT MAIPÚ,11/01/2006,: 83297700-4 IMPRESOS Y CARTONAJES S A,VICTOR GERMAN HERNANDEZ ABARCA,16/01/2023,2025-01-16T00:00:00.000,PRESIDENTE,152
1860,13,93020047,ASOCIACION DE FUNCIONARIOS PROFESIONALES UNIVERSITARIOS DEL HOSPITAL PADRE HURTADO,ACTIVO,1,ASOCIACION DE FUNCIONARIOS,ESPERANZA N? 2150,,26,83,08/03/2001,861010 ACTIVIDADES DE HOSPITALES Y CLÍNICAS PÚBLICAS,16-01-2023 0:00:00,ICT SANTIAGO SUR,21/03/2001,,GONZALO ALMONACID CORNEJO,17/01/2023,2025-01-17T00:00:00.000,DIRECTOR,109
6360,13,13081103,SINDICATO DE FUNCIONARIOS DE SALAS CUNAS Y JARDINES INFANTILES DEPENDIENTES DE LA CORPORACIÓN DE DESARROLLO LA REINA,ACTIVO,9124300,SINDICATO EMPRESA,QUILLAGUA Nº 40,aclsindicato2013@gmail.com,1,145,28/01/2013,854909 OTROS TIPOS DE ENSEÑANZA N.C.P.,24-01-2022 0:00:00,ICT SANTIAGO SUR ORIENTE,31/01/2013,: 71378000-6 CORP DE DESARROLLO DE LA REINA,DAFNE DEL CARMEN VERGARA CERPA,20/01/2022,2025-01-20T00:00:00.000,PRESIDENTE,146
